,Network,Team 1 ,Team 2 ,Game 1 Viewership,Game 2 Viewership,Game 3 Viewership,Game 4 Viewership,Game 5 Viewership,Game 6 Viewership,Game 7 Viewership,Total Viewership,Average Viewership
2014,Fox,San Francisco Giants,Kansas City Royals,12.2,12.9,12.1,10.7,12.6,13.4,23.5,97.4,13.8
2013,Fox,"Boston Red Sox 4,",St. Louis Cardinals,14.5,13.4,12.5,16,14.4,19.2,,90,14.9
2012,Fox,"San Francisco Giants 4,",Detroit Tigers,12.2,12.3,10.5,15.5,,,,50.5,12.7
2011,Fox,St. Louis Cardinals,Texas Rangers,14.2,14.3,11.2,15.2,14.3,21.1,25.4,115.7,16.6
2010,Fox,San Francisco Giants,Texas Rangers,15.009,14.13,11.46,15.537,14.95,,,71.086,14.3
2009,Fox,New York Yankees,Philadelphia Phillies,19.5,18.9,15.4,22.8,17.1,22.3,,116,19.4
2008,Fox,Philadelphia Phillies,Tampa Bay Rays,14.6,12.8,9.8,15.5,15.8,,,68.5,13.635
2007,Fox,Boston Red Sox,Colorado Rockies,16.897,16.95,14.055,20.945,,,,68.847,17.123
2006,Fox,St. Louis Cardinals,Detroit Tigers,12.84,18.165,15.582,16.113,16.276,,,78.976,15.812
2005,Fox,Chicago White Sox,Houston Astros,15.015,17.19,16.652,19.979,,,,68.836,17.162
2004,Fox,Boston Red Sox,St. Louis Cardinals,23.168,25.463,24.422,28.844,,,,101.897,25.39
2003,Fox,Florida Marlins,New York Yankees,17.687,20.552,18.894,20.885,19.908,23.24,,121.166,20.143
2002,Fox,Anaheim Angels,San Francisco Giants,15.5,19.4,17,18.1,15.8,19.2,30,135,19.261
2001,Fox,Arizona Diamondbacks,New York Yankees,16.5,23.6,23.4,23.7,21.2,22.7,39.1,170.2,24.528
2000,Fox,New York Yankees,New York Mets,17.556,19.045,17.453,17.611,18.927,,,90.592,18.081
1999,NBC,New York Yankees,Atlanta Braves,22.035,22.825,24.116,25.848,,,,94.824,23.731
1998,Fox,New York Yankees,San Diego Padres,18.74,17.86,21.97,23.39,,,,81.96,20.34
1997,NBC,Florida Marlins,Cleveland Indians,16.81,22.46,22.19,22.07,24.2,23.74,37.99,169.46,24.79
1996,Fox,New York Yankees,Atlanta Braves,23.69,19.43,23.99,25.16,28.52,30.44,,151.23,25.22
