Team,Predicted Occupancy per game
Washington Nationals,19962
Los Angeles Dodgers,55892
Boston Red Sox,37480
Chicago Cubs,40992
Los Angeles Angels,45395
St. Louis Cardinals,47275
Detroit Tigers,42357
Seattle Mariners,47482
San Francisco Giants,42988
Toronto Blue Jays,49187
Baltimore Orioles,45882
Chicago White Sox,40536
Kansas City Royals,40453
New York Yankees,55883
San Diego Padres,42221
Cleveland Indians,36604
Atlanta Braves,51906
Miami Marlins ,36928
New York Mets,55294
Pittsburgh Pirates,38288
Oakland Athletics,55837
Texas Rangers,48021
Cincinnati Reds,52849
Milwaukee Brewers,41819
Houston Astros,41493
Tampa Bay Rays,30982
Arizona Diamondbacks,49647
Colorado Rockies,76125
Minnesota Twins,38945
Philadelphia Phillies,43566
